hex_id,geometry,pred_peak_month,pred_peak_share,area_weight_km2,wind_peak_month,wind_peak_share,wind_profile_metric,circular_peak_month_difference,signed_peak_month_shift,peak_month_share_difference,abs_peak_month_share_difference
794,"POLYGON ((2732939.1628619023 1758977.3936584655, 2704072.072798036 1758977.3936557039, 2689638.52776754 1783977.0269913992, 2704072.072800926 1808976.660329873, 2732939.162864751 1808976.6603326425, 2747372.707895235 1783977.0269969436, 2732939.1628619023 1758977.3936584655))",11,0.1974305587963225,2164.999999979252,2,0.2048644848141854,frequency,3,-3,-0.007433926017862913,0.007433926017862913
795,"POLYGON ((2732939.162864751 1808976.6603326425, 2704072.072800926 1808976.660329873, 2689638.527770479 1833976.2936664824, 2704072.072803871 1858975.927004864, 2732939.162867655 1858975.9270076442, 2747372.7078980906 1833976.2936720366, 2732939.162864751 1808976.6603326425))",7,0.1811129594026909,2165.000000022563,2,0.2132218055233814,frequency,5,5,-0.03210884612069051,0.03210884612069051
796,"POLYGON ((2732939.162867655 1858975.9270076442, 2704072.072803871 1858975.927004864, 2689638.5277734715 1883975.5603403794, 2704072.072806866 1908975.1936786578, 2732939.1628706045 1908975.1936814294, 2747372.7079009954 1883975.5603459347, 2732939.162867655 1858975.9270076442))",1,0.369153134819733,2164.999999979252,2,0.3086672636505687,frequency,1,-1,0.06048587116916432,0.06048587116916432
797,"POLYGON ((2732939.1628706045 1908975.1936814294, 2704072.072806866 1908975.1936786578, 2689638.5277765105 1933974.8270150565, 2704072.072809901 1958974.4603532073, 2732939.162873597 1958974.460355984, 2747372.7079039454 1933974.8270206072, 2732939.1628706045 1908975.1936814294))",12,0.4332332655876096,2165.000000022563,2,0.3086672636505687,frequency,2,-2,0.12456600193704093,0.12456600193704093
798,"POLYGON ((2732939.162873597 1958974.460355984, 2704072.072809901 1958974.4603532073, 2689638.5277795894 1983974.0936884845, 2704072.0728129735 2008973.7270264928, 2732939.162876621 2008973.7270292558, 2747372.707906931 1983974.0936940208, 2732939.162873597 1958974.460355984))",2,0.4578833333429112,2164.999999979252,2,0.2762364914007305,frequency,0,0,0.18164684194218073,0.18164684194218073
799,"POLYGON ((2732939.162876621 2008973.7270292558, 2704072.0728129735 2008973.7270264928, 2689638.527782701 2033973.360362636, 2704072.0728160758 2058972.9937004868, 2732939.162879675 2058972.9937032415, 2747372.707909948 2033973.360368153, 2732939.162876621 2008973.7270292558))",2,0.268888532028283,2165.000000022563,2,0.2213941538837589,frequency,0,0,0.04749437814452409,0.04749437814452409
881,"POLYGON ((2776239.7979562897 1733977.7603253766, 2747372.7078924356 1733977.760322688, 2732939.1628619023 1758977.3936584655, 2747372.707895235 1783977.0269969436, 2776239.797959047 1783977.0269996386, 2790673.3429895686 1758977.3936638515, 2776239.7979562897 1733977.7603253766))",12,0.3468804308613709,2164.9999999792512,10,0.211678848051415,frequency,2,2,0.1352015828099559,0.1352015828099559
882,"POLYGON ((2776239.797959047 1783977.0269996386, 2747372.707895235 1783977.0269969436, 2732939.162864751 1808976.6603326425, 2747372.7078980906 1833976.2936720366, 2776239.797961861 1833976.2936747398, 2790673.3429923356 1808976.660338047, 2776239.797959047 1783977.0269996386))",12,0.4088506346926753,2165.0000000225623,2,0.2651269608542772,frequency,2,-2,0.14372367383839807,0.14372367383839807
883,"POLYGON ((2776239.797961861 1833976.2936747398, 2747372.7078980906 1833976.2936720366, 2732939.162867655 1858975.9270076442, 2747372.7079009954 1883975.5603459347, 2776239.797964723 1883975.5603486414, 2790673.3429951514 1858975.927013052, 2776239.797961861 1833976.2936747398))",4,0.2737225163638789,2164.9999999792512,2,0.2205320501917201,frequency,2,2,0.05319046617215881,0.05319046617215881
884,"POLYGON ((2776239.797964723 1883975.5603486414, 2747372.7079009954 1883975.5603459347, 2732939.1628706045 1908975.1936814294, 2747372.7079039454 1933974.8270206072, 2776239.797967626 1933974.8270233052, 2790673.342998012 1908975.1936868385, 2776239.797964723 1883975.5603486414))",1,0.2782547505346384,2165.0000000225623,2,0.2857100396412013,frequency,1,-1,-0.007455289106562901,0.007455289106562901
885,"POLYGON ((2776239.797967626 1933974.8270233052, 2747372.7079039454 1933974.8270206072, 2732939.162873597 1958974.460355984, 2747372.707906931 1983974.0936940208, 2776239.797970564 1983974.093696712, 2790673.3430009107 1958974.4603613769, 2776239.797967626 1933974.8270233052))",6,0.2912347287798743,2164.9999999792512,2,0.2743275986507784,frequency,4,4,0.016907130129095893,0.016907130129095893
886,"POLYGON ((2776239.797970564 1983974.093696712, 2747372.707906931 1983974.0936940208, 2732939.162876621 2008973.7270292558, 2747372.707909948 2033973.360368153, 2776239.797973532 2033973.36037083, 2790673.34300384 2008973.727034634, 2776239.797970564 1983974.093696712))",2,0.5826381904845304,2165.0000000225623,2,0.2546316603794651,frequency,0,0,0.32800653010506525,0.32800653010506525
887,"POLYGON ((2776239.797973532 2033973.36037083, 2747372.707909948 2033973.360368153, 2732939.162879675 2058972.9937032415, 2747372.707912989 2083972.6270409697, 2776239.7979765246 2083972.6270436358, 2790673.3430067953 2058972.9937085896, 2776239.797973532 2033973.36037083))",12,0.3329803914383458,2164.9999999792512,2,0.2526817385358348,frequency,2,-2,0.08029865290251098,0.08029865290251098
888,"POLYGON ((2776239.7979765246 2083972.6270436358, 2747372.707912989 2083972.6270409697, 2732939.1628827504 2108972.260376899, 2747372.7079160474 2133971.8937144475, 2776239.797979532 2133971.893717097, 2790673.343009772 2108972.260382222, 2776239.7979765246 2083972.6270436358))",2,0.1667523197233003,2165.0000000225523,2,0.2762487406736848,frequency,0,0,-0.10949642095038453,0.10949642095038453
970,"POLYGON ((2819540.4330560938 1808976.6603406752, 2790673.3429923356 1808976.660338047, 2776239.797961861 1833976.2936747398, 2790673.3429951514 1858975.927013052, 2819540.4330588644 1858975.9270156806, 2833973.9780893326 1833976.293679998, 2819540.4330560938 1808976.6603406752))",2,0.2930677244997424,2165.000000022563,10,0.2883710772047462,frequency,4,4,0.004696647294996192,0.004696647294996192
973,"POLYGON ((2819540.433064531 1958974.4603639967, 2790673.3430009107 1958974.4603613769, 2776239.797970564 1983974.093696712, 2790673.34300384 2008973.727034634, 2819540.433067413 2008973.7270372491, 2833973.9780977573 1983974.093701948, 2819540.433064531 1958974.4603639967))",11,0.3714363246365907,2164.999999979252,10,0.3011432823266798,frequency,1,1,0.0702930423099109,0.0702930423099109
974,"POLYGON ((2819540.433067413 2008973.7270372491, 2790673.34300384 2008973.727034634, 2776239.797973532 2033973.36037083, 2790673.3430067953 2058972.9937085896, 2819540.4330703197 2058972.9937111915, 2833973.9781006277 2033973.3603760453, 2819540.433067413 2008973.7270372491))",8,0.2514082296433366,2165.000000022563,2,0.2209795045013478,frequency,6,6,0.0304287251419888,0.0304287251419888
975,"POLYGON ((2819540.4330703197 2058972.9937111915, 2790673.3430067953 2058972.9937085896, 2776239.7979765246 2083972.6270436358, 2790673.343009772 2108972.260382222, 2819540.4330732427 2108972.2603848, 2833973.978103518 2083972.6270488158, 2819540.4330703197 2058972.9937111915))",2,0.6856319346324119,2165.0000000225527,2,0.2030575496672947,frequency,0,0,0.4825743849651172,0.4825743849651172
976,"POLYGON ((2819540.4330732427 2108972.2603848, 2790673.343009772 2108972.260382222, 2776239.797979532 2133971.893717097, 2790673.34301276 2158971.527054492, 2819540.433076181 2158971.5270570572, 2833973.978106424 2133971.8937222445, 2819540.4330732427 2108972.2603848))",4,0.1903399582823106,2164.999999979262,12,0.2430140864337602,frequency,4,4,-0.05267412815144962,0.05267412815144962
977,"POLYGON ((2819540.433076181 2158971.5270570572, 2790673.34301276 2158971.527054492, 2776239.797982552 2183971.160389198, 2790673.343015756 2208970.7937273923, 2819540.4330791254 2208970.7937299386, 2833973.9781093383 2183971.1603943016, 2819540.433076181 2158971.5270570572))",11,0.2962741168770533,2165.0000000225527,1,0.2781808755500677,frequency,2,-2,0.018093241326985587,0.018093241326985587
978,"POLYGON ((2819540.4330791254 2208970.7937299386, 2790673.343015756 2208970.7937273923, 2776239.797985577 2233970.4270619163, 2790673.3430187562 2258970.060398902, 2819540.4330820707 2258970.0604014164, 2833973.9781122585 2233970.4270669715, 2819540.4330791254 2208970.7937299386))",2,0.2130938272664707,2164.999999979262,1,0.235760886426461,frequency,1,1,-0.022667059159990316,0.022667059159990316
979,"POLYGON ((2819540.4330820707 2258970.0604014164, 2790673.3430187562 2258970.060398902, 2776239.797988601 2283969.693733232, 2790673.3430217514 2308969.3270709943, 2819540.4330850122 2308969.327073483, 2833973.978115175 2283969.6937382314, 2819540.4330820707 2258970.0604014164))",6,0.5374156344152399,2165.0000000225527,1,0.2483085638572568,frequency,5,5,0.28910707055798307,0.28910707055798307
981,"POLYGON ((2819540.433087944 2358968.593744114, 2790673.34302474 2358968.5937416647, 2776239.7979946295 2383968.2270755945, 2790673.343027712 2408967.860412881, 2819540.4330908637 2408967.8604153045, 2833973.978120984 2383968.227080462, 2819540.433087944 2358968.593744114))",1,0.4687871675799218,2165.0000000225527,1,0.2497646699555155,frequency,0,0,0.2190224976244063,0.2190224976244063
1055,"POLYGON ((2862841.0681451447 1683978.4936577247, 2833973.978081313 1683978.4936551873, 2819540.4330507023 1708978.1269911262, 2833973.978083931 1733977.760330609, 2862841.068147721 1733977.7603331583, 2877274.613178321 1708978.1269962036, 2862841.0681451447 1683978.4936577247))",12,0.5210405110208015,2165.000000022565,12,0.2326614408921108,frequency,0,0,0.2883790701286907,0.2883790701286907
1057,"POLYGON ((2862841.0681503536 1783977.027007447, 2833973.9780866057 1783977.027004893, 2819540.4330560938 1808976.6603406752, 2833973.9780893326 1833976.293679998, 2862841.068153034 1833976.2936825503, 2877274.613183543 1808976.6603457853, 2862841.0681503536 1783977.027007447))",2,0.3105995883824772,2165.000000022575,2,0.2750074868225002,frequency,0,0,0.035592101559976996,0.035592101559976996
1058,"POLYGON ((2862841.068153034 1833976.2936825503, 2833973.9780893326 1833976.293679998, 2819540.4330588644 1858975.9270156806, 2833973.9780921037 1883975.5603538956, 2862841.068155761 1883975.5603564535, 2877274.613186224 1858975.9270207894, 2862841.068153034 1833976.2936825503))",5,0.3847996975476009,2164.9999999792635,2,0.2218008856404637,frequency,3,3,0.1629988119071372,0.1629988119071372
1059,"POLYGON ((2862841.068155761 1883975.5603564535, 2833973.9780921037 1883975.5603538956, 2819540.4330616817 1908975.1936894676, 2833973.978094914 1933974.82702856, 2862841.068158523 1933974.8270311072, 2877274.6131889448 1908975.1936945685, 2862841.068155761 1883975.5603564535))",4,0.5569332078974083,2165.000000022575,2,0.2222186261700147,frequency,2,2,0.3347145817273936,0.3347145817273936
1060,"POLYGON ((2862841.068158523 1933974.8270311072, 2833973.978094914 1933974.82702856, 2819540.433064531 1958974.4603639967, 2833973.9780977573 1983974.093701948, 2862841.068161319 1983974.093704493, 2877274.613191701 1958974.4603690915, 2862841.068158523 1933974.8270311072))",2,0.2866595143360866,2164.9999999792635,10,0.2863570021516828,frequency,4,4,0.00030251218440380256,0.00030251218440380256
1061,"POLYGON ((2862841.068161319 1983974.093704493, 2833973.9780977573 1983974.093701948, 2819540.433067413 2008973.7270372491, 2833973.9781006277 2033973.3603760453, 2862841.068164139 2033973.3603785774, 2877274.6131944843 2008973.727042322, 2862841.068161319 1983974.093704493))",5,0.3267748973618946,2165.000000022575,10,0.2514909878428392,frequency,5,-5,0.07528390951905539,0.07528390951905539
1062,"POLYGON ((2862841.068164139 2033973.3603785774, 2833973.9781006277 2033973.3603760453, 2819540.4330703197 2058972.9937111915, 2833973.978103518 2083972.6270488158, 2862841.068166978 2083972.6270513316, 2877274.6131972894 2058972.9937162374, 2862841.068164139 2033973.3603785774))",2,0.5481293215202085,2164.9999999792635,2,0.2789540109222585,frequency,0,0,0.26917531059795,0.26917531059795
1063,"POLYGON ((2862841.068166978 2083972.6270513316, 2833973.978103518 2083972.6270488158, 2819540.4330732427 2108972.2603848, 2833973.978106424 2133971.8937222445, 2862841.068169833 2133971.893724745, 2877274.6132001122 2108972.260389815, 2862841.068166978 2083972.6270513316))",2,0.288800348749177,2165.000000022565,2,0.2529464367945857,frequency,0,0,0.035853911954591255,0.035853911954591255
1064,"POLYGON ((2862841.068169833 2133971.893724745, 2833973.978106424 2133971.8937222445, 2819540.433076181 2158971.5270570572, 2833973.9781093383 2183971.1603943016, 2862841.068172695 2183971.1603967776, 2877274.613202944 2158971.5270620305, 2862841.068169833 2133971.893724745))",11,0.2508138499611987,2164.999999979273,2,0.2030575496672947,frequency,3,-3,0.047756300293904014,0.047756300293904014
1065,"POLYGON ((2862841.068172695 2183971.1603967776, 2833973.9781093383 2183971.1603943016, 2819540.4330791254 2208970.7937299386, 2833973.9781122585 2233970.4270669715, 2862841.0681755603 2233970.4270694214, 2877274.613205783 2208970.7937348667, 2862841.068172695 2183971.1603967776))",12,0.1909273387185418,2165.000000022565,1,0.2826169302983921,frequency,1,-1,-0.09168959157985027,0.09168959157985027
1066,"POLYGON ((2862841.0681755603 2233970.4270694214, 2833973.9781122585 2233970.4270669715, 2819540.4330820707 2258970.0604014164, 2833973.978115175 2283969.6937382314, 2862841.068178423 2283969.693740654, 2877274.6132086203 2258970.060406291, 2862841.0681755603 2233970.4270694214))",1,0.3723657486324826,2164.999999979273,1,0.2466014782101087,frequency,0,0,0.12576427042237392,0.12576427042237392
1067,"POLYGON ((2862841.068178423 2283969.693740654, 2833973.978115175 2283969.6937382314, 2819540.4330850122 2308969.327073483, 2833973.9781180853 2333968.960410066, 2862841.068181281 2333968.9604124664, 2877274.613211453 2308969.327078297, 2862841.068178423 2283969.693740654))",1,0.3546844485074674,2165.000000022565,2,0.2408253572073083,frequency,1,-1,0.11385909130015909,0.11385909130015909
1068,"POLYGON ((2862841.068181281 2333968.9604124664, 2833973.9781180853 2333968.960410066, 2819540.433087944 2358968.593744114, 2833973.978120984 2383968.227080462, 2862841.0681841243 2383968.2270828267, 2877274.6132142763 2358968.593748868, 2862841.068181281 2333968.9604124664))",1,0.3430987809627758,2164.999999979273,1,0.2603231833487664,frequency,0,0,0.08277559761400938,0.08277559761400938
1069,"POLYGON ((2862841.0681841243 2383968.2270828267, 2833973.978120984 2383968.227080462, 2819540.4330908637 2408967.8604153045, 2833973.978123867 2433967.4937514067, 2862841.06818695 2433967.493753732, 2877274.6132170837 2408967.8604199872, 2862841.0681841243 2383968.2270828267))",1,0.4352112602514086,2165.000000022565,1,0.3135824460761515,frequency,0,0,0.12162881417525712,0.12162881417525712
1142,"POLYGON ((2906141.703239616 1658978.860324166, 2877274.6131757954 1658978.8603217078, 2862841.0681451447 1683978.4936577247, 2877274.613178321 1708978.1269962036, 2906141.7032421017 1708978.1269986767, 2920575.248272745 1683978.4936626495, 2906141.703239616 1658978.860324166))",1,0.4889647677343951,2164.999999979252,12,0.2110507537177113,frequency,1,1,0.2779140140166838,0.2779140140166838
1143,"POLYGON ((2906141.7032421017 1708978.1269986767, 2877274.613178321 1708978.1269962036, 2862841.068147721 1733977.7603331583, 2877274.6131809065 1758977.3936715773, 2906141.7032446433 1758977.3936740553, 2920575.248275237 1733977.7603381022, 2906141.7032421017 1708978.1269986767))",12,0.4795471475405219,2165.000000022563,2,0.2967453018314679,frequency,2,-2,0.182801845709054,0.182801845709054
1144,"POLYGON ((2906141.7032446433 1758977.3936740553, 2877274.6131809065 1758977.3936715773, 2862841.0681503536 1783977.027007447, 2877274.613183543 1808976.6603457853, 2906141.7032472347 1808976.6603482636, 2920575.2482777825 1783977.0270124075, 2906141.7032446433 1758977.3936740553))",12,0.4099313009224388,2164.9999999792512,2,0.3634469834412632,frequency,2,-2,0.0464843174811756,0.0464843174811756
1145,"POLYGON ((2906141.7032472347 1808976.6603482636, 2877274.613183543 1808976.6603457853, 2862841.068153034 1833976.2936825503, 2877274.613186224 1858975.9270207894, 2906141.703249871 1858975.927023273, 2920575.248280375 1833976.2936875222, 2906141.7032472347 1808976.6603482636))",11,0.3006705225208483,2165.000000022563,2,0.3388114318459576,frequency,3,-3,-0.03814090932510927,0.03814090932510927
1146,"POLYGON ((2906141.703249871 1858975.927023273, 2877274.613186224 1858975.9270207894, 2862841.068155761 1883975.5603564535, 2877274.6131889448 1908975.1936945685, 2906141.7032525437 1908975.193697046, 2920575.248283007 1883975.560361417, 2906141.703249871 1858975.927023273))",2,0.3168219031163851,2164.9999999792512,2,0.2767764890606536,frequency,0,0,0.040045414055731476,0.040045414055731476
1147,"POLYGON ((2906141.7032525437 1908975.193697046, 2877274.6131889448 1908975.1936945685, 2862841.068158523 1933974.8270311072, 2877274.613191701 1958974.4603690915, 2906141.703255251 1958974.4603715618, 2920575.2482856726 1933974.827036058, 2906141.7032525437 1908975.193697046))",12,0.4289112543655533,2165.000000022563,2,0.3021768874076992,frequency,2,-2,0.12673436695785406,0.12673436695785406
1148,"POLYGON ((2906141.703255251 1958974.4603715618, 2877274.613191701 1958974.4603690915, 2862841.068161319 1983974.093704493, 2877274.6131944843 2008973.727042322, 2906141.703257985 2008973.7270447828, 2920575.2482883683 1983974.0937094209, 2906141.703255251 1958974.4603715618))",10,0.2616319511257066,2164.9999999792512,10,0.2264802229583354,frequency,0,0,0.03515172816737119,0.03515172816737119
1149,"POLYGON ((2906141.703257985 2008973.7270447828, 2877274.6131944843 2008973.727042322, 2862841.068164139 2033973.3603785774, 2877274.6131972894 2058972.9937162374, 2906141.7032607384 2058972.9937186837, 2920575.2482910883 2033973.3603834824, 2906141.703257985 2008973.7270447828))",12,0.2926245203842975,2165.000000022563,10,0.2264802229583354,frequency,2,2,0.06614429742596209,0.06614429742596209
1150,"POLYGON ((2906141.7032607384 2058972.9937186837, 2877274.6131972894 2058972.9937162374, 2862841.068166978 2083972.6270513316, 2877274.6132001122 2108972.260389815, 2906141.703263509 2108972.2603922472, 2920575.248293825 2083972.6270562108, 2906141.7032607384 2058972.9937186837))",10,0.2838471653696561,2165.0000000225523,10,0.2567041845972194,frequency,0,0,0.02714298077243671,0.02714298077243671
1151,"POLYGON ((2906141.703263509 2108972.2603922472, 2877274.6132001122 2108972.260389815, 2862841.068169833 2133971.893724745, 2877274.613202944 2158971.5270620305, 2906141.7032662896 2158971.527064444, 2920575.2482965747 2133971.89372958, 2906141.703263509 2108972.2603922472))",12,0.3346475924925082,2164.999999979261,2,0.2408253572073083,frequency,2,-2,0.0938222352851999,0.0938222352851999
1152,"POLYGON ((2906141.7032662896 2158971.527064444, 2877274.613202944 2158971.5270620305, 2862841.068172695 2183971.1603967776, 2877274.613205783 2208970.7937348667, 2906141.7032690737 2208970.793737253, 2920575.248299331 2183971.160401576, 2906141.7032662896 2158971.527064444))",12,0.2705799283482293,2165.0000000225523,1,0.2750395736652598,frequency,1,-1,-0.0044596453170304695,0.0044596453170304695
1153,"POLYGON ((2906141.7032690737 2208970.793737253, 2877274.613205783 2208970.7937348667, 2862841.0681755603 2233970.4270694214, 2877274.6132086203 2258970.060406291, 2906141.7032718575 2258970.0604086523, 2920575.248302089 2233970.4270741744, 2906141.7032690737 2208970.793737253))",2,0.3476799544616636,2164.999999979261,1,0.2475868590313732,frequency,1,1,0.10009309543029041,0.10009309543029041
1154,"POLYGON ((2906141.7032718575 2258970.0604086523, 2877274.6132086203 2258970.060406291, 2862841.068178423 2283969.693740654, 2877274.613211453 2308969.327078297, 2906141.7032746365 2308969.327080635, 2920575.248304844 2283969.6937453514, 2906141.7032718575 2258970.0604086523))",1,0.2702443792721322,2165.0000000225523,2,0.2823044919538743,frequency,1,-1,-0.012060112681742119,0.012060112681742119
